Ref,X,Y,R
FID,1.5,1.5,0
FID,24.5,1.5,0
FID,24.5,13,0
C1,12.34,1.37,180
C2,14.48,1.37,180
C3,16.61,1.37,180
C4,18.75,1.37,180
C5,4.22,1.73,0
C6,6.35,1.73,180
C7,21.34,1.73,180
C8,8.48,3,180
C9,2.64,3.56,270
C10,3.86,3.56,270
C11,8.48,4.22,0
C12,8.48,5.54,180
C13,2.64,5.69,270
C14,8.48,6.76,0
C15,21.34,7.82,180
C16,6.15,8.99,0
C17,21.34,9.35,180
C18,1.22,10.16,270
C19,20.42,11.18,270
C20,21.64,11.18,270
C21,1.22,12.29,270
C22,6.15,12.85,0
C23,14.38,12.85,0
C24,16.51,12.85,0
C25,8.74,13,180
C26,11.79,13,0
D1,20.88,5.23,180
D2,6.15,10.92,90
F1,1.27,5.23,90
L1,3.86,5.69,90
L2,18.64,12.85,180
L3,21.23,13,180
Q1,3.4,8.23,270
R1,8.48,1.73,180
R2,20.42,3.56,90
R3,20.88,6.45,180
R4,2.9,12.75,0
U1,14.68,7.11,270
U2,8.38,10.11,270
U3,3.45,10.92,180
X1,5.94,3.61,0
X2,5.94,6.15,0
